"Area,HomeDirection,BalconyDirection,NumberOfBedRoom,NumberOfRestrom,Interior,Price"
"86,Tay Bac,Dong Nam,2,2,Full,7.5"
"41.85,Tay Nam,Dong Bac,1, 1,Basic,3.55"
"64,Nam,Dong Bac,1,1,Full,2.7"
"70,Dong,Nam,2,2,Full,15.2"
"84,Bac,Nam,2,2,Full,14"
"81,Bac,Nam,2,2,Full,19.6"
"80,Dong Bac,Tay Nam, 1,1,Basic,5.8"
"59,Dong Nam, Tay Bac, 2,1,Basic,2.6"
"88,Dong Nam,Dong Nam,3,2,Basic,4.8"
"84,Dong Nam,Dong Bac,2,2,Basic,3.11"
"61,Tay Nam,Dong Bac,2,2,Basic,3.38"
"137,Dong,Nam,3,2,Full,47"
"110,Bac,Nam,2,2,Basic,5.5"
"90,Nam,Bac,2,2,Full,7.2"
"55,Tay Bac,Dong Nam,2,1,Full,2.55"
"86,Tay Nam,Dong Bac,2,2,Full,7.2"
"168,Dong Nam,Tay,3,4,Full,12.6"
"120,Bac,Dong Nam,3,2,Basic,6.1"
"110,None,None,3,2,Full,6.6"
"178,Dong Bac, Dong Nam,3,3,Basic,8.37"
"85,None,None,2,Basic,4.4"
"43,None,None,1,1,None,2.8"
"146,None,None,3,2,Full,13.76"
"85,Dong,Nam,2,2,Basic,6.3"
"59,None,None,2,1,Full,2.6"
"70,None,None,2,2,Full,13"
"111,Tay Bac,Tay Bac,3,2,Basic,11,5"
"48,None,None,1,1,Basic,7"
"75,Nam,Nam,2,2,Basic,4.12"
"68.Nam,Nam,2,2,basic,3.2"
"74,Dong Bac,Tay Nam, 2,2,Basic,2.29"
"96,None,None,2,2,5.9"
"58,None,None,1,1,Basic,3.2"
"59,None,none,2,1,Basic,2.2"
"81,None,None,2,2,Basic,4"
"115,Dong Nam,Dong Nam,3,2,Full,9"
"75,None,None,3,2,Basic,4.15"
"110,None,None,3,2,Full,5.25"
"200,Bac,Tay Bac,4,3,Full,24.6"
"77,Dong Nam,Dong Nam,2,2,Basic,5.35"
"93,Dong Nam,Tay Bac,3,3,Full,9"
"79,Dong Nam,None,3,2,Full,7"
"60,Tay Bac,Dong Nam,2,2,Basic,5.6"
"65,Dong Bac,Dong Bac,2,2,Full,3.3"
"80,Dong Bac,Dong Bac,2,2,Basic,4.07"
"74,Dong Bac,Dong Bac,2,2,Full,4.07"
"66,None,None,2,2,Basic,4.5"
"79,None,None,3,2,Basic,4.2"
"88.3,Dong Nam,Tay Bac,3,2,None,4.77"
"84,Dong Bac,Tay Nam,2,2,Basic,4.5"
"84,Tay Bac,Dong Nam,2,2,Basic,3.13"
"79,None,None,2,2,Full,3.9"
"43,None,None,1,0,None,2.2"
"40,None,None,2,1,None,2.9"
"67.37,None,None,2,2,Basic,2.6"
"144,None,None,3,2,Full,13"
"52,Tay Bac,Dong Nam,1,1,Basic,4.9"
"103,Dong Nam,None,3,2,Basic,8.7"
"70,None,None,2,2,Full,5.4"
"72,None,None,2,2,Full,2.79"
"77.5,Dong Bac,Tay Nam,2,2,Basic"
"98,None,Dong Nam,3,2,Full,8.9"
"108,None,None,2,2,Full,8.5"
"55,None,None,1,1,Basic,2.8"
"42,None,None,1,1,Basic,1.18"
"81,Dong Nam,Dong Nam,3,0,Full,5.8"
"55,None,None,1,1,Full,7.8"
"160,Dong Bac,Tay Nam,4,3,Full,32"
"79,Bac,Nam,2,2,Basic,3.35"
"83,None,None,2,2,Full,9.9"
"96,Bac,Nam,2,2,Basic,4.5"
"91.4,Dong Nam,Tay Nam,Full,9.5"
"70,None,None,2,0,Basic,3"
"96,None,None,2,2,6.17"
"142,None,Dong Nam,4,4,Basic,7.2"
"202,None,None,4,3,Full,40"
"52,None,None,1,1,Basic,6.3"
"85,Dong Bac,None,2,2,Basic,3.57"
"65,Tay Bac,Dong Nam,2,2,Full,3"
"72,None,None,2,2,Full,6.5"
"93,Dong Nam,Tay Bac,3,3,Full,9"
"55,None,None,1,1,Basic,6.7"
"67.6,Dong Bac,Dong Nam,2,2,Full,3"
"93,Tay Bac,Dong Nam,2,2,Basic,11.2"
"70,None,None,2,0,Basic,5.3"
"88.59,None,None,2,2,Full,11.6"
"100,Bac,Dong Nam,3,2,Full,12"
"67.8,None,None,2,2,Basic,2.45"
"180,None,None,2,2,Full,53.39"
